Frequencies[cm^-1]   RamanActivity[A^4/amu]
22.1996  0.3271
32.9064  0.5322
65.1623  1.5307
67.545  2.8912
100.8222  0.528
105.3697  0.8302
125.6852  0.1239
151.0061  2.4791
183.128  92.6077
187.0904  1.5383
204.4671  126.3718
205.8545  0.9268
242.3802  0.3228
254.6561  5.6691
290.9447  1.1001
314.9957  10.9985
316.587  0.1015
352.9214  0.3673
362.5959  6.6157
371.645  0.0179
378.4603  2.2033
402.722  14.3254
415.0442  0.2998
428.3664  3.6192
443.9071  0.6952
455.3659  32.2919
483.7087  0.2755
487.4383  13.5483
507.6479  0.4668
508.0878  1.7537
521.5285  0.5314
533.8273  0.0188
535.3425  4.6766
541.8412  1.9797
556.6068  21.6609
557.6415  1.2941
567.6053  15.2153
570.0295  2.2624
624.8082  4.2079
626.5057  3.1539
632.5386  0.1774
642.3259  3.9115
646.4922  1.0386
660.7603  10.9123
671.2865  0.0829
692.2579  1.0206
717.5509  1.5273
728.9336  0.6028
731.907  0.7584
746.2688  0.7901
757.4982  12.4569
764.9672  0.0015
767.6752  9.2876
779.1856  0.5949
786.742  116.7044
787.11  0.2281
790.5996  0.3377
811.0083  0.2106
831.0816  0.4419
834.9493  3.0838
842.4573  0.8997
844.7796  6.6027
851.5426  0.9103
859.5222  7.9575
859.7308  2.7227
863.9822  5.2285
871.0804  2.8539
872.0989  11.1329
889.3197  30.2708
917.1441  1.7727
920.1349  0.1648
924.7793  0.8634
932.4168  23.4406
939.5196  0.9631
942.2256  1.1756
950.1542  0.3318
951.6982  0.0626
987.523  33.3417
1033.6025  68.1856
1037.5697  59.8684
1058.9799  6.5149
1071.2436  7.9775
1095.3178  21.2347
1106.6458  21.4125
1124.5451  15.4826
1142.0362  40.4835
1148.2497  4.6614
1151.5771  95.5653
1153.2992  114.7504
1157.9462  264.2399
1173.583  116.604
1189.8396  584.5482
1203.7862  1189.5804
1215.8922  521.3962
1220.9255  134.0066
1224.4329  104.4698
1232.7527  204.7928
1253.3382  930.5584
1261.7052  39.2634
1289.4216  5.6592
1299.664  474.2054
1318.8233  1630.1864
1335.8071  27.3243
1341.0783  111.7912
1357.3088  8030.4536
1367.9273  980.9048
1371.6291  247.199
1373.5006  4766.0321
1390.1859  66.3522
1399.7137  39.701
1404.8862  1402.4737
1410.9483  141.6496
1420.483  123.7619
1423.9622  1860.6996
1437.9665  2.4846
1444.1771  65.4194
1450.4434  354.6172
1464.9043  217.436
1478.7072  32.5737
1493.9767  353.3029
1501.492  1134.9502
1510.1361  116.5837
1551.116  154.5732
1555.3241  611.5093
1563.6405  1877.0129
1584.8926  481.4324
1591.5905  462.0711
1592.728  4858.7847
1600.1122  347.2927
1606.584  323.6313
1610.0078  180.1749
1618.2639  1200.8343
3086.3658  63.1945
3087.7248  35.8129
3088.3761  99.9755
3090.978  28.985
3091.9326  116.6679
3094.8529  191.5997
3102.0706  135.6939
3102.1051  314.6633
3105.7941  146.0016
3106.3202  292.8242
3109.0302  147.3632
3112.4909  211.071
3112.8681  28.651
3117.6107  447.3325
3118.9325  430.2414
3127.6786  502.3335
3129.8969  389.5212
3132.2737  195.4458
